Index   V(VIN_COMMON)         V(VQ)            V(VQB)      
435      3.68000000e-01    1.23091674e-01    5.38884156e-05
436      3.70000000e-01    1.21640547e-01    4.94645745e-05
437      3.72000000e-01    1.20198505e-01    4.54216709e-05
438      3.74000000e-01    1.18766338e-01    4.17258850e-05
439      3.76000000e-01    1.17344911e-01    3.83464750e-05
440      3.78000000e-01    1.15935157e-01    3.52554914e-05
441      3.80000000e-01    1.14538076e-01    3.24275179e-05
442      3.82000000e-01    1.13154731e-01    2.98394368e-05
443      3.84000000e-01    1.11786234e-01    2.74702166e-05
444      3.86000000e-01    1.10433746e-01    2.53007198e-05
445      3.88000000e-01    1.09098452e-01    2.33135283e-05
446      3.90000000e-01    1.07781557e-01    2.14927859e-05
447      3.92000000e-01    1.06484261e-01    1.98240546e-05
448      3.94000000e-01    1.05207745e-01    1.82941850e-05
449      3.96000000e-01    1.03953147e-01    1.68911987e-05
450      3.98000000e-01    1.02721546e-01    1.56041814e-05
451      4.00000000e-01    1.01513941e-01    1.44231864e-05
452      4.02000000e-01    1.00331231e-01    1.33391461e-05
453      4.04000000e-01    9.91742083e-02    1.23437931e-05
454      4.06000000e-01    9.80435377e-02    1.14295872e-05
455      4.08000000e-01    9.69397549e-02    1.05896504e-05
456      4.10000000e-01    9.58632606e-02    9.81770639e-06
457      4.12000000e-01    9.48143206e-02    9.10802741e-06
458      4.14000000e-01    9.37930691e-02    8.45538442e-06
459      4.16000000e-01    9.27995156e-02    7.85500271e-06
460      4.18000000e-01    9.18335535e-02    7.30252131e-06
461      4.20000000e-01    9.08949704e-02    6.79395609e-06
462      4.22000000e-01    8.99834599e-02    6.32566629e-06
463      4.24000000e-01    8.90986339e-02    5.89432409e-06
464      4.26000000e-01    8.82400345e-02    5.49688686e-06
465      4.28000000e-01    8.74071456e-02    5.13057205e-06
466      4.30000000e-01    8.65994045e-02    4.79283425e-06
467      4.32000000e-01    8.58162115e-02    4.48134439e-06
468      4.34000000e-01    8.50569391e-02    4.19397075e-06
469      4.36000000e-01    8.43209406e-02    3.92876173e-06
470      4.38000000e-01    8.36075567e-02    3.68393016e-06
471      4.40000000e-01    8.29161219e-02    3.45783898e-06
472      4.42000000e-01    8.22459691e-02    3.24898820e-06
473      4.44000000e-01    8.15964348e-02    3.05600311e-06
474      4.46000000e-01    8.09668618e-02    2.87762341e-06
475      4.48000000e-01    8.03566025e-02    2.71269338e-06
476      4.50000000e-01    7.97650210e-02    2.56015290e-06
